city,date,precipitation,temperature,humidity,soil_wetness
Karachi,2020-02-08,0.0,19.75,38.98,0.47
Karachi,2020-02-09,0.0,19.81,48.34,0.47
Karachi,2020-02-10,0.0,20.09,39.1,0.47
Karachi,2020-02-11,0.0,21.4,35.35,0.47
Karachi,2020-02-12,0.0,22.91,32.86,0.46
Karachi,2020-02-13,0.0,22.4,53.78,0.46
Karachi,2020-02-14,0.0,21.75,54.58,0.46
Karachi,2020-02-15,0.0,21.57,56.26,0.46
Karachi,2020-02-16,0.0,22.55,47.08,0.46
Karachi,2020-02-17,0.0,24.05,36.04,0.46
Karachi,2020-02-18,0.0,23.9,36.72,0.46
Karachi,2020-02-19,0.0,23.68,55.86,0.46
Karachi,2020-02-20,0.0,22.9,30.51,0.46
Karachi,2020-02-21,0.0,22.37,37.47,0.46
Karachi,2020-02-22,0.0,22.84,40.34,0.46
Karachi,2020-02-23,0.0,22.88,50.74,0.46
Karachi,2020-02-24,0.0,22.84,63.14,0.46
Karachi,2020-02-25,0.0,22.97,72.69,0.46
Karachi,2020-02-26,0.0,23.2,75.3,0.46
Karachi,2020-02-27,0.0,23.17,75.6,0.46
Karachi,2020-02-28,0.0,23.42,78.2,0.46
Karachi,2020-02-29,0.0,22.86,68.53,0.46
Karachi,2020-03-01,0.0,23.59,66.77,0.46
Karachi,2020-03-02,0.0,23.87,57.46,0.46
Karachi,2020-03-03,0.0,22.54,66.07,0.46
Karachi,2020-03-04,0.0,22.46,74.1,0.46
Karachi,2020-03-05,0.0,22.36,56.01,0.46
Karachi,2020-03-06,0.1,20.71,46.99,0.46
Karachi,2020-03-07,0.0,22.17,51.81,0.46
Karachi,2020-03-08,0.0,22.22,58.7,0.46
Karachi,2020-03-09,0.0,22.6,58.6,0.46
Karachi,2020-03-10,0.0,22.51,58.54,0.46
Karachi,2020-03-11,0.0,20.91,45.26,0.46
Karachi,2020-03-12,1.22,20.31,42.44,0.46
Karachi,2020-03-13,0.0,22.23,40.27,0.46
Karachi,2020-03-14,0.65,22.26,47.48,0.46
Karachi,2020-03-15,0.69,23.04,46.53,0.46
Karachi,2020-03-16,0.0,24.04,46.73,0.46
Karachi,2020-03-17,0.0,25.49,44.49,0.46
Karachi,2020-03-18,0.0,26.08,41.7,0.46
Karachi,2020-03-19,0.0,24.55,53.57,0.46
Karachi,2020-03-20,0.0,23.81,74.36,0.46
Karachi,2020-03-21,0.12,25.24,78.37,0.46
Karachi,2020-03-22,0.18,24.96,75.41,0.46
Karachi,2020-03-23,1.46,23.99,74.6,0.46
Karachi,2020-03-24,0.53,24.53,73.07,0.46
Karachi,2020-03-25,0.0,24.43,56.49,0.46
Karachi,2020-03-26,4.22,23.94,60.77,0.46
Karachi,2020-03-27,2.71,23.01,67.79,0.47
Karachi,2020-03-28,0.0,24.03,67.43,0.47
Karachi,2020-03-29,0.0,25.36,66.26,0.47
Karachi,2020-03-30,0.0,25.52,64.53,0.47
Karachi,2020-03-31,0.01,24.9,70.71,0.47
Karachi,2020-04-01,0.1,25.26,71.32,0.47
Karachi,2020-04-02,0.04,26.06,64.14,0.46
Karachi,2020-04-03,0.0,27.32,59.88,0.46
Karachi,2020-04-04,0.0,26.92,60.5,0.46
Karachi,2020-04-05,0.24,26.74,69.68,0.46
Karachi,2020-04-06,0.11,26.84,68.96,0.46
Karachi,2020-04-07,0.0,27.47,68.94,0.46
Karachi,2020-04-08,0.0,27.17,68.11,0.46
Karachi,2020-04-09,0.0,27.08,67.64,0.46
Karachi,2020-04-10,0.0,27.75,65.2,0.46
Karachi,2020-04-11,0.0,28.46,63.14,0.46
Karachi,2020-04-12,0.0,28.69,59.47,0.46
Karachi,2020-04-13,0.0,27.32,65.05,0.46
Karachi,2020-04-14,0.0,26.46,77.57,0.46
Karachi,2020-04-15,0.0,27.89,72.44,0.46
Karachi,2020-04-16,0.0,27.78,72.01,0.46
Karachi,2020-04-17,0.0,28.38,65.99,0.46
Karachi,2020-04-18,0.0,28.28,68.19,0.46
Karachi,2020-04-19,0.0,27.94,70.82,0.46
Karachi,2020-04-20,0.0,28.45,70.9,0.46
Karachi,2020-04-21,0.09,29.23,68.34,0.46
Karachi,2020-04-22,0.14,29.55,70.32,0.46
Karachi,2020-04-23,0.03,29.51,70.47,0.46
Karachi,2020-04-24,0.1,28.21,74.03,0.46
Karachi,2020-04-25,0.02,28.89,73.09,0.46
Karachi,2020-04-26,0.02,29.34,72.68,0.46
Karachi,2020-04-27,0.04,28.48,76.78,0.46
Karachi,2020-04-28,0.03,28.76,71.41,0.46
Karachi,2020-04-29,0.03,29.5,67.92,0.46
Karachi,2020-04-30,0.04,29.23,69.84,0.46
Karachi,2020-05-01,1.38,28.71,75.43,0.46
Karachi,2020-05-02,6.82,28.76,77.81,0.46
Karachi,2020-05-03,8.99,29.17,79.05,0.49
Karachi,2020-05-04,11.72,29.61,76.61,0.49
Karachi,2020-05-05,14.53,28.96,81.29,0.53
Karachi,2020-05-06,1.97,30.21,70.66,0.53
Karachi,2020-05-07,0.0,30.12,74.74,0.52
Karachi,2020-05-08,0.0,29.6,76.98,0.52
Karachi,2020-05-09,0.0,29.3,76.55,0.52
Karachi,2020-05-10,0.0,29.14,78.5,0.51
Karachi,2020-05-11,0.0,29.32,78.33,0.51
Karachi,2020-05-12,0.0,29.22,77.0,0.51
Karachi,2020-05-13,0.01,29.28,73.81,0.51
Karachi,2020-05-14,0.0,29.7,69.03,0.51
Karachi,2020-05-15,0.0,29.95,65.67,0.5
Karachi,2020-05-16,18.78,29.17,71.79,0.52
Karachi,2020-05-17,78.17,27.91,81.53,0.57
Karachi,2020-05-18,98.42,28.1,84.8,0.72
Karachi,2020-05-19,13.54,28.8,80.9,0.73
Karachi,2020-05-20,10.81,28.87,80.45,0.74
Karachi,2020-05-21,2.8,29.07,82.36,0.74
Karachi,2020-05-22,0.0,29.63,78.35,0.73
Karachi,2020-05-23,0.0,29.32,81.38,0.72
Karachi,2020-05-24,0.0,29.02,80.16,0.71
Karachi,2020-05-25,0.0,29.11,80.98,0.7
Karachi,2020-05-26,0.0,29.4,80.99,0.7
Karachi,2020-05-27,0.04,29.78,83.16,0.69
Karachi,2020-05-28,0.12,29.56,84.34,0.68
Karachi,2020-05-29,0.44,29.24,85.66,0.68
Karachi,2020-05-30,1.17,28.98,86.32,0.67
Karachi,2020-05-31,0.34,28.73,85.63,0.67
Karachi,2020-06-01,0.0,29.02,83.43,0.66
Karachi,2020-06-02,0.0,29.31,82.66,0.66
Karachi,2020-06-03,0.0,29.86,80.27,0.65
Karachi,2020-06-04,0.0,30.51,73.89,0.65
Karachi,2020-06-05,0.02,30.17,76.56,0.64
Karachi,2020-06-06,0.04,30.03,77.18,0.63
Karachi,2020-06-07,0.05,30.12,77.67,0.63
Karachi,2020-06-08,0.09,30.1,77.73,0.62
Karachi,2020-06-09,0.04,30.26,78.22,0.62
Karachi,2020-06-10,0.01,30.15,80.12,0.61
Karachi,2020-06-11,0.0,30.06,80.17,0.61
Karachi,2020-06-12,0.0,30.4,77.16,0.6
Karachi,2020-06-13,0.0,30.23,76.19,0.6
Karachi,2020-06-14,0.0,30.53,78.05,0.6
Karachi,2020-06-15,0.0,30.7,77.56,0.59
Karachi,2020-06-16,0.0,30.92,78.85,0.59
Karachi,2020-06-17,0.0,30.69,80.91,0.58
Karachi,2020-06-18,0.0,30.82,75.14,0.58
Karachi,2020-06-19,0.0,30.68,78.6,0.57
Karachi,2020-06-20,0.13,30.81,75.63,0.57
Karachi,2020-06-21,0.17,30.83,75.05,0.56
Karachi,2020-06-22,0.09,31.29,72.46,0.56
Karachi,2020-06-23,0.03,31.84,69.07,0.55
Karachi,2020-06-24,0.4,32.13,72.17,0.55
Karachi,2020-06-25,0.19,31.21,77.25,0.54
Karachi,2020-06-26,0.0,31.29,75.73,0.54
Karachi,2020-06-27,0.0,31.15,79.15,0.54
Karachi,2020-06-28,0.0,31.07,76.33,0.53
Karachi,2020-06-29,0.0,31.23,74.89,0.53
Karachi,2020-06-30,0.15,31.57,74.23,0.53
Karachi,2020-07-01,0.66,31.32,74.21,0.52
Karachi,2020-07-02,0.29,30.95,75.95,0.52
Karachi,2020-07-03,0.14,31.53,76.4,0.52
Karachi,2020-07-04,0.21,31.88,76.8,0.52
Karachi,2020-07-05,0.47,31.64,78.7,0.52
Karachi,2020-07-06,3.55,30.93,80.96,0.52
Karachi,2020-07-07,2.78,31.76,76.6,0.52
Karachi,2020-07-08,7.87,32.1,76.15,0.52
Karachi,2020-07-09,0.58,32.74,68.13,0.53
Karachi,2020-07-10,1.65,31.34,78.68,0.53
Karachi,2020-07-11,2.6,30.73,80.52,0.53
Karachi,2020-07-12,0.63,30.94,75.29,0.53
Karachi,2020-07-13,2.1,30.66,74.77,0.52
Karachi,2020-07-14,0.86,30.96,74.06,0.52
Karachi,2020-07-15,0.42,31.27,74.25,0.52
Karachi,2020-07-16,1.37,30.62,79.17,0.52
Karachi,2020-07-17,15.66,31.36,76.61,0.53
Karachi,2020-07-18,11.02,32.34,73.33,0.55
Karachi,2020-07-19,1.38,31.27,76.35,0.55
Karachi,2020-07-20,0.75,30.97,79.27,0.55
Karachi,2020-07-21,0.69,30.73,76.82,0.54
Karachi,2020-07-22,0.69,30.56,74.07,0.54
Karachi,2020-07-23,0.22,30.66,75.68,0.54
Karachi,2020-07-24,0.07,30.84,74.62,0.53
Karachi,2020-07-25,2.14,30.35,78.49,0.53
Karachi,2020-07-26,19.32,29.52,82.5,0.54
Karachi,2020-07-27,12.86,30.06,79.59,0.58
Karachi,2020-07-28,2.51,30.25,78.76,0.58
Karachi,2020-07-29,0.7,30.41,78.71,0.58
Karachi,2020-07-30,0.29,30.87,77.89,0.57
Karachi,2020-07-31,0.13,30.59,78.38,0.57
Karachi,2020-08-01,0.03,30.76,78.28,0.57
Karachi,2020-08-02,0.02,30.89,77.11,0.56
Karachi,2020-08-03,0.01,30.71,78.12,0.56
Karachi,2020-08-04,0.14,30.85,77.98,0.55
Karachi,2020-08-05,0.44,31.06,78.32,0.55
Karachi,2020-08-06,41.62,30.09,84.49,0.57
Karachi,2020-08-07,61.4,30.81,81.78,0.67
Karachi,2020-08-08,18.87,29.91,84.81,0.73
Karachi,2020-08-09,7.62,29.84,83.09,0.74
Karachi,2020-08-10,0.35,30.36,79.95,0.73
Karachi,2020-08-11,1.53,29.84,85.68,0.72
Karachi,2020-08-12,0.95,29.95,85.76,0.72
Karachi,2020-08-13,0.18,29.99,84.18,0.71
Karachi,2020-08-14,0.69,30.14,84.84,0.71
Karachi,2020-08-15,0.28,29.83,84.42,0.7
Karachi,2020-08-16,0.21,29.65,84.54,0.7
Karachi,2020-08-17,0.25,29.93,84.69,0.7
Karachi,2020-08-18,0.56,29.77,83.54,0.69
Karachi,2020-08-19,1.03,29.51,83.99,0.69
Karachi,2020-08-20,0.1,30.12,81.55,0.68
Karachi,2020-08-21,9.33,29.88,82.57,0.68
Karachi,2020-08-22,4.47,30.0,83.42,0.7
Karachi,2020-08-23,1.68,29.26,88.25,0.7
Karachi,2020-08-24,22.57,29.16,86.05,0.7
Karachi,2020-08-25,112.86,28.71,85.61,0.76
Karachi,2020-08-26,61.99,28.66,85.76,0.86
Karachi,2020-08-27,92.65,28.6,87.8,0.9
Karachi,2020-08-28,16.53,28.6,87.86,0.94
Karachi,2020-08-29,0.52,28.71,88.01,0.93
Karachi,2020-08-30,1.27,28.5,87.27,0.92
Karachi,2020-08-31,4.32,28.02,87.02,0.92
Karachi,2020-09-01,0.38,28.06,81.38,0.92
Karachi,2020-09-02,0.09,27.97,81.83,0.91
Karachi,2020-09-03,0.07,28.51,83.05,0.9
Karachi,2020-09-04,1.47,28.29,85.53,0.9
Karachi,2020-09-05,1.0,28.48,85.35,0.89
Karachi,2020-09-06,0.03,27.96,85.68,0.88
Karachi,2020-09-07,0.03,27.9,84.34,0.88
Karachi,2020-09-08,0.03,27.83,85.87,0.87
Karachi,2020-09-09,0.01,27.77,82.94,0.86
Karachi,2020-09-10,0.01,27.55,82.63,0.85
Karachi,2020-09-11,0.01,27.7,82.99,0.84
Karachi,2020-09-12,0.02,28.51,81.25,0.83
Karachi,2020-09-13,0.18,28.82,82.68,0.83
Karachi,2020-09-14,0.87,28.87,85.07,0.82
Karachi,2020-09-15,0.19,28.77,83.79,0.82
Karachi,2020-09-16,0.13,28.52,87.32,0.81
Karachi,2020-09-17,0.08,28.6,85.57,0.81
Karachi,2020-09-18,0.0,28.77,78.13,0.8
Karachi,2020-09-19,0.0,28.29,79.67,0.8
Karachi,2020-09-20,0.0,29.36,75.64,0.79
Karachi,2020-09-21,0.0,29.39,80.43,0.78
Karachi,2020-09-22,0.0,28.81,84.39,0.77
Karachi,2020-09-23,0.0,28.59,81.52,0.77
Karachi,2020-09-24,0.0,28.64,83.61,0.76
Karachi,2020-09-25,0.0,28.17,82.62,0.75
Karachi,2020-09-26,0.0,27.56,74.51,0.74
Karachi,2020-09-27,0.0,27.4,78.78,0.74
Karachi,2020-09-28,0.0,27.47,78.72,0.73
Karachi,2020-09-29,0.0,27.56,79.13,0.72
Karachi,2020-09-30,0.0,27.88,78.34,0.72
Karachi,2020-10-01,0.0,27.72,78.72,0.71
Karachi,2020-10-02,0.0,27.65,77.56,0.71
Karachi,2020-10-03,0.0,28.03,77.79,0.7
Karachi,2020-10-04,0.0,28.08,76.06,0.7
Karachi,2020-10-05,0.0,28.1,79.12,0.69
Karachi,2020-10-06,0.0,27.73,75.76,0.68
Karachi,2020-10-07,0.0,27.42,78.52,0.68
Karachi,2020-10-08,0.0,27.72,79.99,0.67
Karachi,2020-10-09,0.0,27.79,78.24,0.67
Karachi,2020-10-10,0.0,28.05,74.4,0.66
Karachi,2020-10-11,0.0,28.11,70.89,0.66
Karachi,2020-10-12,0.0,28.24,60.59,0.65
Karachi,2020-10-13,0.0,28.49,51.92,0.65
Karachi,2020-10-14,0.0,28.23,46.02,0.64
Karachi,2020-10-15,0.0,28.28,44.26,0.64
Karachi,2020-10-16,0.0,27.96,47.23,0.63
Karachi,2020-10-17,0.1,28.01,48.86,0.63
Karachi,2020-10-18,0.09,28.85,53.8,0.62
Karachi,2020-10-19,0.0,28.51,64.57,0.62
Karachi,2020-10-20,0.0,26.44,51.61,0.61
Karachi,2020-10-21,0.0,26.34,56.48,0.61
Karachi,2020-10-22,0.0,26.16,54.54,0.6
Karachi,2020-10-23,0.0,25.22,57.24,0.6
Karachi,2020-10-24,0.0,25.57,62.46,0.6
Karachi,2020-10-25,0.0,25.72,59.66,0.59
Karachi,2020-10-26,0.0,25.69,56.99,0.59
Karachi,2020-10-27,0.0,24.97,59.83,0.59
Karachi,2020-10-28,0.0,24.8,69.29,0.58
Karachi,2020-10-29,0.0,25.05,70.44,0.58
Karachi,2020-10-30,0.0,25.65,68.06,0.58
Karachi,2020-10-31,0.0,26.01,55.13,0.57
Karachi,2020-11-01,0.0,25.51,53.66,0.57
Karachi,2020-11-02,0.0,24.61,55.9,0.57
Karachi,2020-11-03,0.0,24.15,61.92,0.56
Karachi,2020-11-04,0.0,23.98,68.47,0.56
Karachi,2020-11-05,0.0,24.77,69.19,0.56
Karachi,2020-11-06,0.0,24.88,60.93,0.55
Karachi,2020-11-07,0.0,25.12,53.62,0.55
Karachi,2020-11-08,0.0,24.91,56.76,0.55
Karachi,2020-11-09,0.0,24.31,61.64,0.55
Karachi,2020-11-10,0.0,24.25,65.07,0.54
Karachi,2020-11-11,0.0,24.64,51.61,0.54
Karachi,2020-11-12,0.0,23.47,47.64,0.54
Karachi,2020-11-13,0.0,24.06,47.99,0.54
Karachi,2020-11-14,0.0,24.08,58.89,0.53
Karachi,2020-11-15,0.0,24.19,61.39,0.53
Karachi,2020-11-16,0.0,22.69,45.06,0.53
Karachi,2020-11-17,0.0,21.86,54.89,0.53
Karachi,2020-11-18,0.0,21.73,56.45,0.52
Karachi,2020-11-19,0.0,22.63,60.23,0.52
Karachi,2020-11-20,0.0,22.29,43.8,0.52
Karachi,2020-11-21,0.0,22.33,36.0,0.52
Karachi,2020-11-22,0.0,21.76,55.55,0.51
Karachi,2020-11-23,0.0,21.92,76.43,0.51
Karachi,2020-11-24,2.48,22.53,69.81,0.51
Karachi,2020-11-25,0.97,20.43,62.51,0.51
Karachi,2020-11-26,0.0,20.55,56.86,0.51
Karachi,2020-11-27,0.0,19.81,59.49,0.51
Karachi,2020-11-28,0.0,20.44,49.09,0.51
Karachi,2020-11-29,0.0,21.69,43.34,0.51
Karachi,2020-11-30,0.0,22.25,48.81,0.5
Karachi,2020-12-01,0.0,22.81,54.31,0.5
Karachi,2020-12-02,0.0,22.92,61.49,0.5
Karachi,2020-12-03,0.0,22.79,73.9,0.5
Karachi,2020-12-04,0.0,23.12,75.19,0.49
Karachi,2020-12-05,0.0,23.89,69.19,0.49
Karachi,2020-12-06,0.0,24.05,64.31,0.49
Karachi,2020-12-07,0.0,23.43,54.26,0.49
Karachi,2020-12-08,0.0,22.65,73.83,0.49
Karachi,2020-12-09,0.05,23.06,66.98,0.49
Karachi,2020-12-10,0.01,22.44,54.3,0.48
Karachi,2020-12-11,0.02,22.02,56.16,0.48
Karachi,2020-12-12,0.0,20.03,50.72,0.48
Karachi,2020-12-13,0.0,19.1,35.26,0.48
Karachi,2020-12-14,0.0,18.93,38.69,0.48
Karachi,2020-12-15,0.0,17.77,36.7,0.48
Karachi,2020-12-16,0.0,16.91,36.63,0.48
Karachi,2020-12-17,0.0,16.96,38.51,0.48
Karachi,2020-12-18,0.0,18.4,32.74,0.47
Karachi,2020-12-19,0.0,19.56,31.46,0.47
Karachi,2020-12-20,0.0,20.91,29.59,0.47
Karachi,2020-12-21,0.0,21.3,36.49,0.47
Karachi,2020-12-22,0.0,21.45,44.02,0.47
Karachi,2020-12-23,0.0,20.91,40.47,0.47
Karachi,2020-12-24,0.0,20.0,36.64,0.47
Karachi,2020-12-25,0.0,19.99,36.4,0.47
Karachi,2020-12-26,0.0,19.96,45.45,0.47
Karachi,2020-12-27,0.0,18.47,33.43,0.47
Karachi,2020-12-28,0.0,17.2,29.16,0.47
Karachi,2020-12-29,0.0,17.28,30.02,0.47
Karachi,2020-12-30,0.0,16.63,35.3,0.46
Karachi,2020-12-31,0.0,16.51,39.16,0.46
Karachi,2021-01-01,0.0,17.55,36.31,0.46
Karachi,2021-01-02,0.0,18.64,37.26,0.46
Karachi,2021-01-03,0.0,18.0,41.93,0.46
Karachi,2021-01-04,0.0,18.12,41.45,0.46
Karachi,2021-01-05,0.0,18.25,46.33,0.46
Karachi,2021-01-06,0.0,18.47,39.29,0.46
Karachi,2021-01-07,0.0,17.95,39.1,0.46
Karachi,2021-01-08,0.0,16.55,30.5,0.46
Karachi,2021-01-09,0.0,17.07,35.26,0.46
Karachi,2021-01-10,0.0,17.67,35.5,0.46
Karachi,2021-01-11,0.0,18.92,29.12,0.46
Karachi,2021-01-12,0.0,19.29,39.73,0.46
Karachi,2021-01-13,0.0,19.65,46.88,0.46
Karachi,2021-01-14,0.0,20.28,57.38,0.46
Karachi,2021-01-15,0.0,20.0,43.33,0.46
Karachi,2021-01-16,0.0,20.0,38.33,0.46
Karachi,2021-01-17,0.0,19.47,48.26,0.46
Karachi,2021-01-18,0.0,19.49,50.47,0.46
Karachi,2021-01-19,0.0,18.95,39.43,0.46
Karachi,2021-01-20,0.0,20.26,72.43,0.46
Karachi,2021-01-21,0.0,20.79,79.35,0.46
Karachi,2021-01-22,0.0,21.41,78.49,0.46
Karachi,2021-01-23,0.0,20.35,35.34,0.46
Karachi,2021-01-24,0.0,19.4,31.55,0.46
Karachi,2021-01-25,0.0,18.46,40.98,0.46
Karachi,2021-01-26,0.0,18.36,45.25,0.46
Karachi,2021-01-27,0.0,18.35,43.75,0.46
Karachi,2021-01-28,0.0,18.49,48.24,0.46
Karachi,2021-01-29,0.0,18.75,48.82,0.46
Karachi,2021-01-30,0.0,18.79,56.37,0.46
Karachi,2021-01-31,0.0,19.78,74.62,0.46
Karachi,2021-02-01,0.0,21.02,80.54,0.46
Karachi,2021-02-02,0.0,20.73,77.64,0.46
Karachi,2021-02-03,0.0,21.37,66.11,0.46
Karachi,2021-02-04,0.0,20.99,41.04,0.46
Karachi,2021-02-05,0.0,20.34,42.76,0.46
Karachi,2021-02-06,0.0,20.04,50.21,0.46
Karachi,2021-02-07,0.0,20.57,46.86,0.46
Karachi,2021-02-08,0.0,20.76,50.27,0.46
Karachi,2021-02-09,0.0,21.18,68.69,0.46
Karachi,2021-02-10,0.0,22.92,54.15,0.46
Karachi,2021-02-11,0.0,23.33,45.55,0.46
Karachi,2021-02-12,0.0,22.58,59.86,0.46
Karachi,2021-02-13,0.0,21.92,62.32,0.46
Karachi,2021-02-14,0.0,21.69,69.4,0.46
Karachi,2021-02-15,0.0,21.74,76.03,0.46
Karachi,2021-02-16,0.0,22.15,70.53,0.46
Karachi,2021-02-17,0.0,22.21,67.7,0.46
Karachi,2021-02-18,0.0,22.78,52.16,0.46
Karachi,2021-02-19,0.0,24.42,35.99,0.46
Karachi,2021-02-20,0.0,24.08,35.5,0.46
Karachi,2021-02-21,0.0,24.11,38.93,0.46
Karachi,2021-02-22,0.0,23.66,56.12,0.46
Karachi,2021-02-23,0.0,22.92,74.88,0.46
Karachi,2021-02-24,0.0,23.12,80.19,0.46
Karachi,2021-02-25,0.0,23.86,79.62,0.46
Karachi,2021-02-26,0.0,25.32,67.04,0.46
Karachi,2021-02-27,0.0,24.49,58.19,0.46
Karachi,2021-02-28,0.0,23.85,53.62,0.46
Karachi,2021-03-01,0.0,23.76,43.45,0.45
Karachi,2021-03-02,0.0,23.52,49.3,0.45
Karachi,2021-03-03,0.0,23.71,71.6,0.45
Karachi,2021-03-04,0.0,25.77,70.66,0.45
Karachi,2021-03-05,0.0,26.0,69.54,0.45
Karachi,2021-03-06,0.0,25.34,78.14,0.45
Karachi,2021-03-07,0.0,25.09,80.37,0.45
Karachi,2021-03-08,0.0,24.63,72.79,0.45
Karachi,2021-03-09,0.0,24.21,72.29,0.45
Karachi,2021-03-10,0.0,23.87,68.48,0.45
Karachi,2021-03-11,0.0,23.52,77.57,0.45
Karachi,2021-03-12,0.0,25.03,71.32,0.45
Karachi,2021-03-13,0.0,26.02,62.35,0.45
Karachi,2021-03-14,0.0,25.21,59.33,0.45
Karachi,2021-03-15,0.0,25.27,68.86,0.45
Karachi,2021-03-16,0.0,26.08,73.94,0.45
Karachi,2021-03-17,0.01,25.93,73.82,0.45
Karachi,2021-03-18,0.02,25.9,71.08,0.45
Karachi,2021-03-19,0.01,26.79,62.65,0.45
Karachi,2021-03-20,0.02,26.5,63.95,0.45
Karachi,2021-03-21,0.34,25.32,81.99,0.45
Karachi,2021-03-22,0.81,25.72,77.77,0.46
Karachi,2021-03-23,0.05,26.05,68.3,0.46
Karachi,2021-03-24,0.0,26.26,64.05,0.46
Karachi,2021-03-25,0.0,27.47,49.79,0.46
Karachi,2021-03-26,0.0,27.32,51.73,0.46
Karachi,2021-03-27,0.0,26.37,65.72,0.46
Karachi,2021-03-28,0.0,26.44,74.56,0.46
Karachi,2021-03-29,0.0,27.0,79.09,0.46
Karachi,2021-03-30,0.0,29.06,58.51,0.46
Karachi,2021-03-31,0.0,29.49,29.37,0.46
Karachi,2021-04-01,0.0,28.55,32.91,0.46
Karachi,2021-04-02,0.0,29.4,45.23,0.46
Karachi,2021-04-03,0.0,30.24,50.47,0.46
Karachi,2021-04-04,0.0,28.62,64.83,0.46
Karachi,2021-04-05,0.0,27.54,77.43,0.46
Karachi,2021-04-06,0.0,27.6,76.61,0.46
Karachi,2021-04-07,0.0,28.38,57.73,0.46
Karachi,2021-04-08,0.0,27.41,52.09,0.46
Karachi,2021-04-09,0.0,27.49,62.88,0.46
Karachi,2021-04-10,0.0,27.44,64.83,0.46
Karachi,2021-04-11,0.0,28.41,59.14,0.45
Karachi,2021-04-12,0.0,28.24,62.37,0.45
Karachi,2021-04-13,0.0,27.38,64.0,0.45
Karachi,2021-04-14,0.0,26.67,72.29,0.45
Karachi,2021-04-15,0.04,26.51,80.14,0.45
Karachi,2021-04-16,0.43,28.2,71.68,0.46
Karachi,2021-04-17,0.62,28.23,69.93,0.46
Karachi,2021-04-18,0.77,28.73,70.2,0.46
Karachi,2021-04-19,1.47,28.23,72.66,0.46
Karachi,2021-04-20,0.66,28.73,62.26,0.46
Karachi,2021-04-21,3.86,28.79,66.86,0.47
Karachi,2021-04-22,0.0,28.75,71.99,0.47
Karachi,2021-04-23,0.0,29.86,66.73,0.46
Karachi,2021-04-24,0.0,29.47,61.73,0.46
Karachi,2021-04-25,0.0,29.88,58.94,0.46
Karachi,2021-04-26,0.01,29.17,69.09,0.46
Karachi,2021-04-27,0.04,28.99,70.06,0.46
Karachi,2021-04-28,0.06,27.96,73.83,0.46
Karachi,2021-04-29,0.13,28.59,71.87,0.46
Karachi,2021-04-30,0.08,29.27,70.94,0.46
Karachi,2021-05-01,0.22,29.16,73.82,0.46
Karachi,2021-05-02,0.13,29.47,61.32,0.46
Karachi,2021-05-03,0.21,28.6,66.07,0.46
Karachi,2021-05-04,0.06,29.54,66.96,0.46
Karachi,2021-05-05,0.19,29.78,68.94,0.46
Karachi,2021-05-06,0.93,30.13,67.04,0.46
Karachi,2021-05-07,0.0,30.45,65.03,0.46
Karachi,2021-05-08,0.0,30.92,63.8,0.46
Karachi,2021-05-09,0.0,30.59,61.6,0.46
Karachi,2021-05-10,0.0,30.08,70.04,0.46
Karachi,2021-05-11,0.02,29.88,71.84,0.46
Karachi,2021-05-12,0.01,29.69,75.08,0.46
